"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"11406",7920,"92649ec6-4081-47be-8a6b-c91208a62aa5","2.1.1-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","f7e7041b-1781-4023-bf42-af4b3c68f92f","20P009260 Hayes Creek Falls","RESCUE","5/26/2020 12:40:00 AM",1,"YES",11,21,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",31,"MALE","UNKNOWN","POOR",1,-107.2518,39.1585200000001
"11410",2018,"24940a19-9069-460e-899e-e55ae1c37214","3.0.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","68b7d3bf-b483-445a-a5cf-2d72a058ae15","1925","SWIFTWATER_RESCUE","5/25/2021 12:15:00 AM",1,"YES",11,6,0,"","WILDERNESS","COUNTY",1,"CANOEING/KAYAKING/RAFTING",28,"MALE","","",1,-107.07535,39.64404
"11419",5999,"0595917b-fbce-4100-acc3-32b772cd283f","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","923AFE58-D5B0-48C5-8530-3E85F1B7A642","961","SEARCH","3/8/2019 11:30:00 PM",8,"YES",25,561,0,"AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",49,"MALE","GOOD","GOOD",0,-106.35705,39.60472
"11474",2902,"b9979b89-635a-4f06-8568-d29100849bd1","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","c83b04f9-24b4-4fe2-bd44-d9154dbf90a0","22P002387 Marble Avalanche","AVALANCHE","2/25/2022 11:45:00 PM",2,"NO",29,271,300,"AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"HIKING",27,"MALE","UNKNOWN","UNKNOWN",0,-107.17352,39.05658
"11497",20755,"2486cd7a-cf3c-422b-8ed8-e40ac6519dcf","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","86ceb508-37b4-4ddb-8bfc-d4a80d892664","Indian Peaks Wilderness Search for Josh Hall and Dog - RMR Assist","SEARCH","2/6/2021 3:00:00 PM",2,"NO",4,12,150,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",27,"MALE","UNKNOWN","UNKNOWN",0,-105.66505,40.0811800000001
"11545",7637,"21c4934a-11fb-44b3-8ef4-76700d998237","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","c4c9e425-c00a-441c-8281-13d8256d4d30","2019-34","SEARCH","9/16/2019 2:00:00 PM",1,"NO",4,44,600,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",66,"MALE","FAIR","FAIR",1,-106.254674001,38.185635753
"11551",8965,"070657e4-a7ae-4512-b5eb-0ef6334c7638","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","19910904-8d00-45cf-b5f3-39c141f7e59c","01635","RESCUE","10/4/2020 12:30:00 AM",1,"YES",4,6,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",65,"FEMALE","FAIR","FAIR",1,-106.434900719,39.4280382700001
"11622",7946,"99fa2a73-08de-4f44-93fd-ded51c8bd17d","2.1.2-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","4f0b7c46-d9f1-43a3-8839-cc2c6ed79ee7","20P012325 Blue Creek Injured Hiker","RESCUE","7/11/2020 7:50:00 PM",1,"NO",11,60,0,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",79,"MALE","FAIR","FAIR",0,-106.55112,39.13034
"11645",20727,"108eb166-4910-4862-8570-9d39c2ea9e9d","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","68bd3fa7-26d8-41d4-b111-f5067f71ab3c","Loveland Missing At-Risk Juvenile ","SEARCH","2/6/2021 7:00:00 PM",1,"YES",21,19,285,"","SUBURBAN","COUNTY",1,"DIMINISHED_CAPACITY:_OTHER",14,"MALE","UNKNOWN","UNKNOWN",1,-105.078914982769,40.4651850045031
"11683",8750,"6a680199-7a34-4c7c-bb1d-921b5e28490c","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","f2a58ff1-57f5-4c56-a165-3f5412358ff0","06132020_1","SWIFTWATER_RESCUE","6/13/2020 11:00:00 PM",1,"YES",13,28,200,"","RURAL","STATE",1,"OTHER",35,"MALE","FAIR","POOR",1,-105.080161711,38.386635792
"11685",21153,"6b7c5fa5-f2cb-4180-8a7a-2a67c00cef31","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","dd743e9d-e836-4607-a1fc-8da4ce9505d6","2022-10","RESCUE","3/19/2022 8:00:00 PM",1,"YES",14,188,500,"","WILDERNESS","STATE",2,"HIKING",45,"MALE","POOR","POOR",1,-105.012291341579,38.5860289104488
"11691",9414,"46f47f3b-ac9d-43b1-bfc0-cd968b912b35","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","40aa573e-d85f-4778-a0f6-187d479fad7a","20200903-S","RESCUE","9/3/2020 11:30:00 PM",1,"YES",1,2,34,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",72,"MALE","POOR","FAIR",1,-105.421073,39.51539
"11762",1162,"3cb317d4-d7ad-464c-8e38-02caf9c2f540","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","e3124d83-3acd-4c6b-8312-c4b06c65fdf8","20210620 Buckskin SOS Activation","SEND_ACTIVATION","6/20/2021 4:28:00 PM",1,"YES",8,0,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",46,"FEMALE","UNKNOWN","UNKNOWN",1,-106.143474,39.31789
"11763",3486,"87d1a784-b08d-4786-8ff6-62cf849f82e5","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","ed13e168-bd42-4979-a9a4-de41c9ed40c0","22P007834 Thomas Lakes Trail Ankle","RESCUE","7/16/2022 10:15:00 PM",1,"YES",12,49,120,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",44,"FEMALE","FAIR","FAIR",0,-107.13642,39.27783
"11769",7445,"74909d93-b364-4098-a16c-6447176f51ef","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","1B099DBA-AE06-4AEC-8406-C34D4C770B79","01262","SEARCH","12/15/2019 12:00:00 AM",2,"YES",17,123,200,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"SNOWMOBILING",46,"MALE","GOOD","EXCELLENT",2,-106.596983523,39.645263775
"11773",5146,"3fcf0831-81ab-4bc6-9c90-2a575633a2c6","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","B97D20BF-90DB-423A-8278-0C44DC1A4F7F","00359","RESCUE","1/25/2018 8:30:00 PM",1,"YES",9,1,20,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWMOBILING",25,"MALE","GOOD","FAIR",1,-106.23056,39.54537
"11786",20798,"c0f68500-3274-43fa-828f-44804f94479e","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","004f6ea1-775f-4159-90ca-db4cad3c7391","Masonville Missing Person","SEARCH","4/23/2021 3:09:00 PM",1,"YES",3,1,0,"","RURAL","COUNTY",1,"DRIVING",73,"FEMALE","UNKNOWN","UNKNOWN",1,-105.20034,40.48956
"11795",976,"b9003626-6735-4f8b-82bf-db04cb841974","2.2.0-MRA","El_Paso_County_SAR","Rocky Mountain Region","6d6352d1-688b-4c13-8d9e-23debddd5000","PFJ2321-00076","SEARCH","4/18/2021 1:05:00 AM",1,"YES",1,0,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",42,"MALE","UNKNOWN","UNKNOWN",1,-104.9037,38.7903000000001
"11846",5221,"2a85bae0-75b3-4dd1-a9c9-4821384a3814","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","CB527084-CBC4-4170-8316-CE059F6D13B8","00649","MEDICAL_AID","9/9/2018 4:15:00 AM",1,"YES",9,52,0,"","WILDERNESS","BLM",1,"HUNTING",72,"MALE","UNKNOWN","UNKNOWN",0,-106.30251,39.43258
"11850",3632,"adb52954-7081-4038-8e73-83c60e7c3c81","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","fe39e5e9-6d50-4b8f-9998-7a57245c2503","2022049","RESCUE","5/23/2022 9:07:00 PM",1,"YES",9,13,180,"","WILDERNESS","STATE",1,"CLIMBING",25,"MALE","","",0,-105.284522524155,39.9313154374466
"11920",22510,"4efe0c42-fc0d-4f63-8847-05d536798124","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","2d23d6aa-1bc0-41cf-bad0-67c83697d568","2022120","RESCUE","8/15/2022 2:20:00 AM",1,"YES",10,20,70,"","WILDERNESS","CITY",3,"CLIMBING",25,"MALE","","",3,-105.294114045538,39.9812454070014
"11997",22487,"6b7e69ed-a353-4ab4-829c-ea95c2e8c9c6","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","5d61d3e0-5a01-4962-9db5-e38b0311f906","2022097","RESCUE","7/19/2022 7:55:00 PM",1,"YES",8,16,416,"","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",19,"MALE","","",0,-105.524008080963,40.1211932050961
"12117",22441,"244a228b-1dc6-4779-8ed8-314dd3486530","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","0544aadf-5e40-4046-8770-a767cb85c1d3","23P002014 Benedict Hut","RESCUE","2/22/2023 6:30:00 PM",1,"YES",11,110,50,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",52,"FEMALE","UNKNOWN","UNKNOWN",0,-106.76614,39.18698
"12126",8295,"31baa6d2-b6b9-404a-b42e-1c8801994543","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","10692c6b-0ebf-44e9-abf9-cc9562454f56","Missing 3yom","SEARCH","12/14/2020 4:00:00 AM",1,"YES",1,0,0,"","SUBURBAN","PRIVATE",1,"CHILD_AGE_0-15",3,"MALE","UNKNOWN","UNKNOWN",1,-105.723575504,39.2314934020001
"12146",21113,"2c90af5e-0c39-48eb-83dd-a8c624176ed7","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","ca717b3d-e211-4798-b87b-7dfff53fd614","Donath Lake","SEARCH","11/29/2022 3:16:00 AM",1,"YES",25,92,750,"","RURAL","CITY",1,"RUNAWAY",16,"MALE","UNKNOWN","UNKNOWN",1,-105.061648379614,40.4692734558744
"12148",21030,"e3475ff4-e4fc-4d36-8523-4b65a800e1f3","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","22e4223a-dc58-4675-899c-632df8c0997e","Well-prepared Hunter","SEARCH","9/15/2022 3:06:00 PM",1,"YES",14,29,210,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",62,"MALE","GOOD","GOOD",1,-105.882864351764,40.5405361263616
"12158",2081,"b8313c07-0191-47ad-8cda-928a54097152","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","58db5008-1065-4964-9278-a50b7bf0a46a","03122021_1","SEARCH","3/12/2021 3:00:00 PM",1,"NO",3,7,360,"","WILDERNESS","STATE",1,"DRIVING",65,"MALE","POOR","POOR",0,-105.067407676697,38.6805847310461
"12187",4110,"c2c75c70-b976-4824-b523-ef8387ae0397","","Fremont_SAR","Rocky Mountain Region","A7610A06-737E-451B-8269-C50CDDD18FF9","2018-12","SEARCH","4/1/2018 9:00:00 PM",1,"YES",15,46,300,"AIRCRAFT-UAV","RURAL","PRIVATE",1,"RUNAWAY",19,"FEMALE","GOOD","FAIR",1,-105.16936,38.3825900000001
"12200",8733,"da92c6e6-d8a6-4d15-9258-972013adb3da","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","64ec5b09-4c30-4efa-9fdc-229c4121c704","01310","SEARCH","1/13/2020 1:30:00 AM",1,"NO",8,76,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",21,"MALE","GOOD","FAIR",1,-106.248970963,39.4829797880001
"12228",5676,"654dd8e5-3519-41ab-b428-3c9fd361a38d","","Chaffee_County_SAR_North","Rocky Mountain Region","B5F89502-C003-4A7D-8DF9-9CB658653A72","029-2018","RESCUE","7/24/2018 12:00:00 AM",1,"YES",12,11,130,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",73,"FEMALE","UNKNOWN","UNKNOWN",0,-106.2636,38.8122900000001
"12263",2095,"9ca9cf3d-7e49-4d9d-8ca8-b6dcc9c49876","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","c013e44c-3ac5-48d2-9f6e-a753b13264d9","08222021_1","SEARCH","8/22/2021 5:00:00 PM",1,"YES",1,1,0,"","SUBURBAN","PRIVATE",1,"RUNAWAY",9,"FEMALE","UNKNOWN","UNKNOWN",1,-105.24245,38.44098
"12272",7345,"25b27a8c-012f-48f5-8e49-162d233223d5","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","42C53E47-9AB8-4B48-8A58-6C7BBE6C70DD","#01139","SEARCH","8/24/2019 7:00:00 PM",1,"YES",4,14,40,"","RURAL","NATIONAL_FOREST",1,"HIKING",20,"MALE","GOOD","FAIR",1,-106.35772,39.71358
"12285",22656,"44ca8efb-ab2b-4dc4-81c2-661c6765ae5b","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","a05484d9-6daa-484b-b97f-7a22a734c599","2023002","RESCUE","1/12/2022 7:38:00 PM",1,"YES",8,8,376,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",78,"FEMALE","","",0,-105.568638557069,40.0739046172564
"12350",7359,"df632438-f0e0-46fe-9aab-df1d1847c7db","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","D2C4BA99-6E58-41CD-8379-463F6F088944","#00964 Vail Pass Skier Search","SEARCH","4/29/2019 3:45:00 AM",1,"YES",6,26,100,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",0,"MALE","GOOD","GOOD",1,-106.12938,39.56021
"12363",3609,"ce46151c-53e5-470e-8e56-966770d5fd1a","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","f6d7b59a-3350-48ec-a5ff-a9b26dde546a","2022026","RESCUE","4/19/2022 4:03:00 PM",1,"YES",14,35,84,"","WILDERNESS","CITY",1,"HIKING",75,"MALE","","",0,-105.304168809509,40.0318214209592
"12422",1053,"11be7a08-8149-4f4d-8686-933e9c46d681","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","f64d736c-0569-4559-b22f-6624b2406392","21P005806 Thompson Creek Lost Hiker","SEARCH","5/15/2021 10:00:00 PM",1,"YES",23,96,200,"AIRCRAFT-UAV","WILDERNESS","BLM",1,"HIKING",33,"MALE","GOOD","POOR",1,-107.25986,39.31332
"12432",23529,"c7a5caaf-be79-4e63-8be2-6444cdc09a50","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","4dbc6390-0e4e-4bee-9f16-86e920eb0775","230811 Hoosier Pass Stranded Party","RESCUE","8/11/2023 10:18:00 PM",1,"YES",4,4,0,"","WILDERNESS","NATIONAL_FOREST",3,"HIKING",60,"MALE","UNKNOWN","UNKNOWN",3,-106.07426,39.36717
"12438",7800,"8ece38bf-13cd-4a94-8ca0-4c10654ae6c3","2.1.1-MRA","Park_County_SAR","Rocky Mountain Region","533cdbc1-93f2-4b9c-923e-d45152617032","Separated on Tanglewood","SEARCH","5/20/2020 6:00:00 AM",1,"YES",11,11,0,"","WILDERNESS","NATIONAL_FOREST",3,"HIKING",18,"MALE","UNKNOWN","POOR",3,-105.58944,39.5158300000001
"12459",8487,"cd0a83c7-ebb3-42d8-bb4c-fdfb0da14344","2.2.0-MRA","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","a0afdcfd-c783-4bb9-b040-995f4578535d","20-14","RESCUE","6/29/2020 1:08:00 AM",1,"YES",12,51,35,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",28,"MALE","","",0,-107.087702337,38.69772212
"12491",21170,"bc06a468-98a6-4541-8f5b-8257a28e1a6a","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","1d32bd32-c0af-4f11-b42f-55af86333562","2022-22","SEARCH","6/7/2022 12:00:00 AM",1,"YES",12,50,200,"AIRCRAFT-UAV","WATER","STATE",1,"CANOEING/KAYAKING/RAFTING",79,"MALE","POOR","POOR",0,-105.072283668974,38.3916400236627
"12577",9420,"a32398d0-0dc4-4f3f-b0d7-c3b3c4c3c809","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","ed71f310-d3a3-4c7b-91b5-81ac0fadf602","Meridian trail hiker","RESCUE","10/13/2020 12:45:00 AM",1,"YES",9,22,24,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",41,"FEMALE","GOOD","POOR",1,-105.441587,39.5615500000001
"12588",20827,"a61f4d55-f59b-4529-8520-792dbfedbb1e","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","85c3e2e4-5336-4528-95d3-d1d10fa246b8","Round Mountain Hiker Walk Out","SEARCH","9/15/2021 11:40:00 PM",1,"YES",11,36,572,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",57,"FEMALE","UNKNOWN","UNKNOWN",1,-105.30249,40.41859
"12589",23483,"99c06cfb-26e8-4f57-8b9f-1ea9189047ab","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","761d1aee-b6d2-4ef0-9520-06c31db4d9ab","2023.01.05 Campion Search for 77YOF Walkaway","SEARCH","1/5/2023 4:13:00 PM",1,"YES",14,56,532,"","SUBURBAN","CITY",1,"ALZHEIMERS/DEMENTIA",77,"FEMALE","UNKNOWN","UNKNOWN",1,-105.07679,40.34838
"12653",3615,"ec24afda-582b-4d7a-8297-e76df501475f","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","24393ebd-9ad2-4166-a79c-533802c5abd9","2022032","RESCUE","4/30/2022 5:12:00 PM",1,"YES",15,15,105,"","WILDERNESS","CITY",1,"HIKING",32,"MALE","","",0,-105.291583119049,39.9824992044835
"12711",8289,"504fb169-2faa-4be1-95ce-3c909f21886e","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","17653c5a-5bbe-481f-8430-eb6ba4d37791","Missing Juvi","SEARCH","11/21/2020 11:00:00 PM",1,"YES",4,0,0,"","SUBURBAN","COUNTY",1,"CHILD_AGE_0-15",9,"MALE","UNKNOWN","UNKNOWN",1,-105.42235,39.4773200000001
"12716",7127,"c94aa6e6-89d6-48ce-9612-dfafbf3a2212","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","3876A7DD-A84F-47C3-81E8-79F08A21DCF6","#00875","RESCUE","2/15/2019 1:21:00 AM",1,"YES",8,38,80,"","WILDERNESS","NATIONAL_FOREST",2,"SNOWMOBILING",25,"MALE","FAIR","POOR",2,-106.23332,39.5390400000001
"12725",7886,"914e5578-8004-4e92-8a08-3f76bea2ef11","2.1.1-MRA","Grand_County_SAR","Rocky Mountain Region","1369cf07-abdc-4da5-bb03-1f8a51e37a02","02665 Antelope Pass ATV accident ","RESCUE","5/3/2020 9:45:00 PM",1,"YES",9,45,0,"","WILDERNESS","BLM",1,"OHV/ATV",47,"MALE","GOOD","FAIR",0,-106.35221,40.1463400000001
"12786",4116,"65be3951-9b08-40a0-8e26-10c13485335f","","Fremont_SAR","Rocky Mountain Region","8BF00590-B1C6-4C48-8404-0CDC6C5A3F13","2018-18","RESCUE","5/28/2018 8:00:00 PM",1,"YES",12,22,240,"","WILDERNESS","STATE",1,"HIKING",25,"FEMALE","POOR","POOR",1,-105.16317,38.2780700000001
"12791",20764,"e401bf91-30f2-4dc9-8cfb-101021124b9a","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","54945ee2-4859-4e21-a971-d0b896504b4f","Carter Lake Kayaker Drowning Ops 1","RECOVERY","4/13/2021 1:00:00 PM",3,"YES",10,72,450,"","WATER","COUNTY",1,"BOATING",31,"MALE","UNKNOWN","UNKNOWN",0,-106.54252,39.3723700000001
"12797",5063,"ee0e81f5-5667-4273-beed-6e1e7561c1cb","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","9FCDC40B-9267-4C2D-AA87-66631E9EDFFE","575 Cross Creek","RESCUE","7/24/2018 12:00:00 AM",1,"YES",13,84,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",29,"FEMALE","GOOD","GOOD",1,-106.44172,39.5364200000001
"12818",20881,"4d4aa473-1066-49e6-870f-c154cbe6ca59","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","1398c3d9-5c5d-49c0-9822-dd4202be581f","Horsetooth Falls Carryout Assist","RESCUE","6/28/2022 8:01:00 PM",1,"YES",8,12,208,"AIRCRAFT-HELICOPTER","WILDERNESS","COUNTY",1,"JOGGER/RUNNER",40,"MALE","UNKNOWN","UNKNOWN",0,-105.17929,40.53182
"12858",3758,"774d814a-f029-4179-b8fe-05638f176267","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","F87C550B-FB3A-4553-8092-A82716FFFBFA","2018-01","MEDICAL_AID","1/29/2018 9:16:00 PM",1,"YES",7,14,10,"","RURAL","BLM",1,"BIKING",23,"MALE","FAIR","FAIR",0,-106.94494,38.5038000000001
"12880",22493,"259f889c-8faa-4a9d-8c00-e98c3dbea3bc","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","e74969f8-e086-48f1-b4ed-fd224fca50f5","2022103","RESCUE","7/28/2022 10:26:00 PM",1,"YES",8,19,48,"","WILDERNESS","CITY",1,"CLIMBING",22,"MALE","","",1,-105.29249772124,39.9897463302824
"12884",23492,"3fdc2454-1ec4-482e-88f8-ea930b8864fb","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","7fd862b9-079e-430a-a176-75af7dea69c9","2023.05.27 West Fort Collins Search for Missing 8 YOF","SEARCH","5/23/2023 4:14:00 PM",1,"YES",22,1,0,"","SUBURBAN","CITY",1,"CHILD_AGE_0-15",8,"FEMALE","UNKNOWN","UNKNOWN",1,-105.128871930312,40.5623318432178
"12934",8146,"aa8597ff-0751-4993-a511-46328d9f9efd","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","4d244d43-4e86-4a00-a8f4-b725a0304314","01658","MEDICAL_AID","10/14/2020 11:10:00 PM",1,"YES",5,4,10,"","OTHER","NATIONAL_FOREST",1,"HIKING",47,"MALE","UNKNOWN","UNKNOWN",0,-106.393039423,39.6249569080001
"12951",22544,"07fdc147-41d9-488a-8729-0ee2ea3d0139","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","ba783625-9c50-4412-8625-f246d88e096a","2022148","RESCUE","9/17/2022 6:43:00 PM",1,"YES",13,13,221,"","WILDERNESS","CITY",1,"HIKING",20,"FEMALE","","",0,-105.307031521176,39.9886772804084
"13001",22610,"ca5cc15b-ae34-4d2f-84ed-9bc16adada80","3.0.0-MRA","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","961296ef-a51e-40a3-9859-fb3bb6bdef00","22-03","SEARCH","4/17/2022 2:02:00 AM",1,"NO",8,64,72,"","WILDERNESS","BLM",2,"DRIVING",20,"MALE","EXCELLENT","FAIR",2,-106.95517,38.35879
"13008",5132,"17ab42aa-7f58-4e50-9768-8c9c33dd27f8","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","B0D0A14D-C19B-47F1-95BF-B102B72AEA88","00609","RESCUE","8/7/2018 7:45:00 PM",1,"YES",8,18,150,"","WILDERNESS","STATE",1,"HIKING",12,"FEMALE","FAIR","POOR",0,-106.37483,39.6604
"13071",9477,"6217db25-f1ff-450e-89a8-ba91358c3498","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","42b009bb-4226-47f4-af08-fe2a111ea008","Missing Hunter","SEARCH","10/12/2020 1:00:00 AM",1,"YES",5,10,72,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",70,"MALE","FAIR","FAIR",1,-106.0048,39.2899
"13077",704,"e92209a6-c830-4764-999e-c2f078973eb4","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","c460fda9-adeb-4d49-af43-4b6fe566219f","01310","SEARCH","1/13/2020 1:30:00 AM",1,"YES",8,76,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",52,"MALE","UNKNOWN","UNKNOWN",1,-106.28337482,39.4964030470001
"13078",4491,"9f136388-924e-4bd1-96dc-8651f87ec3e6","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","2061C857-DAE5-4C29-9E0C-7978B5A04FD6","#00339","RESCUE","1/13/2018 7:00:00 PM",1,"YES",8,12,0,"","WILDERNESS","BLM",1,"SNOWMOBILING",21,"FEMALE","UNKNOWN","UNKNOWN",1,-106.2993,39.4598
"13083",22516,"88a7e6a7-b2dc-4825-8a6e-ca60696ac7a3","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","816d8b31-3f47-4ba6-ba6c-9ead4a86af47","2022125","RESCUE","8/20/2022 2:32:00 PM",1,"YES",18,54,378,"","WILDERNESS","STATE",1,"CLIMBING",29,"MALE","","",0,-105.28434545645,39.9318471045012
"13086",20838,"675dd050-d927-46b3-8313-453a32342b90","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","0b5a9142-7167-490b-b1ec-3a9c85cff20d","Rocky Mountain Assist with 2 carryouts","RESCUE","12/22/2021 11:48:00 PM",1,"YES",6,33,540,"","WILDERNESS","NATIONAL_PARK/MONUMENT",1,"HIKING",50,"FEMALE","UNKNOWN","UNKNOWN",0,-105.656122,40.34934
"13107",10757,"1124e311-6245-4bd9-a470-502d990fc53d","2.2.0-MRA","El_Paso_County_SAR","Rocky Mountain Region","6d6352d1-688b-4c13-8d9e-23debddd5000","PFJ2321-00076","SEARCH","4/18/2021 1:05:00 AM",1,"YES",1,0,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",42,"MALE","UNKNOWN","UNKNOWN",1,-104.9037,38.7903000000001
"13145",2101,"949d3041-03ef-4066-8cc1-8d37d4de81b7","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","c026237e-c815-4902-b24e-110354c5688d","11092021_1","SEARCH","11/9/2021 1:00:00 PM",1,"YES",9,18,200,"","RURAL","PRIVATE",1,"ALZHEIMERS/DEMENTIA",67,"MALE","UNKNOWN","UNKNOWN",1,-105.136978550416,38.3859760570268
"13153",678,"e624cc35-19d7-43d0-8895-00f761aa5fab","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","c7175afa-a137-4db3-9780-e24b4c6237ad","010621 Horseshoe CG Missing Person","SEARCH","1/6/2021 8:30:00 PM",1,"YES",2,2,0,"","RURAL","NATIONAL_FOREST",1,"CAMPING",60,"MALE","UNKNOWN","UNKNOWN",0,-106.0842,39.1995000000001
"13166",22659,"16c4a628-1b71-4bed-87be-a1b46f349b47","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","fe387ec9-d64b-4539-933e-45c4c43dbd44","2023005","RESCUE","2/13/2023 7:41:00 PM",1,"YES",11,16,77,"","WILDERNESS","CITY",1,"HIKING",74,"FEMALE","","",0,-105.289604476858,39.9964552862122
